chunk_id,doc_id,chunk_len,chunk_text
doc_01_chunk_01,doc_01,416,"DataCraft открывает доступ к курсам сразу после подтверждения электронной почты и заполнения профиля студента. В профиле обязательно указать имя, часовой пояс и удобный язык интерфейса, потому что эти поля используются при назначении дедлайнов и отправке напоминаний. Если студент меняет часовой пояс после старта потока, система пересчитывает время вебинаров, но не переносит уже наступившие дедлайны задним числом."
doc_01_chunk_02,doc_01,418,"время вебинаров, но не переносит уже наступившие дедлайны задним числом. После первой авторизации студент видит стартовый чек-лист. В нем есть обязательные шаги: посмотреть вводный модуль, принять правила академической честности, проверить настройки уведомлений и открыть раздел с календарем занятий. Пока чек-лист не завершен, система считает onboarding незавершенным и продолжает присылать напоминания раз в два дня."
doc_01_chunk_03,doc_01,420,"onboarding незавершенным и продолжает присылать напоминания раз в два дня. Если письмо с подтверждением не пришло, нужно проверить папку spam и затем запросить повторную отправку ссылки в разделе входа. Повторная ссылка действует 30 минут. Старые ссылки автоматически становятся недействительными после выдачи новой. Служба поддержки аккаунтов помогает только с проблемами входа, сменой email и ошибками профиля. Вопросы"
doc_01_chunk_04,doc_01,168,"помогает только с проблемами входа, сменой email и ошибками профиля. Вопросы по содержанию уроков и домашним заданиям нужно направлять ментору или в учебный чат группы."
doc_02_chunk_01,doc_02,420,"На платформе DataCraft есть три основных тарифа: Basic, Pro и Team. Тариф Basic дает доступ к урокам, тестам и базовому форуму. Тариф Pro дополнительно включает еженедельные mentor office hours, проверку итогового проекта и карьерную консультацию. Тариф Team предназначен для компаний и включает общий кабинет администратора и централизованную оплату. Оплатить обучение можно банковской картой или безналичным счетом для"
doc_02_chunk_02,doc_02,412,"оплату. Оплатить обучение можно банковской картой или безналичным счетом для юридических лиц. Для частных студентов доступна рассрочка на 3, 6 или 12 месяцев, если стоимость курса превышает установленный порог. После успешной оплаты доступ открывается автоматически, а чек и счет сохраняются в разделе Billing. Если срок подписки подходит к концу, система присылает напоминание за 14 дней и за 3 дня до окончания"
doc_02_chunk_03,doc_02,420,"к концу, система присылает напоминание за 14 дней и за 3 дня до окончания доступа. Продление на новый период сохраняет историю прогресса и открывает доступ к новым версиям уроков. Если доступ истек, материалы не удаляются, но становятся недоступны до повторной оплаты. Возвраты по тарифам регулируются отдельной политикой отмены. Для командных лицензий изменение числа мест оформляется через менеджера, а не через личный"
doc_02_chunk_04,doc_02,85,"лицензий изменение числа мест оформляется через менеджера, а не через личный кабинет."
doc_03_chunk_01,doc_03,414,"Для большинства самостоятельных курсов DataCraft действует пробный период 7 дней. В течение пробного периода студент может открыть первые модули, пройти квизы и посмотреть интерфейс платформы, но не получает доступ к итоговому проекту и персональной проверке домашних заданий. Если в описании программы прямо указано, что trial отсутствует, курс оплачивается без пробного доступа. Отменить подписку можно в разделе"
doc_03_chunk_02,doc_03,413,"курс оплачивается без пробного доступа. Отменить подписку можно в разделе Billing до окончания текущего оплаченного периода. После отмены автопродление отключается, но доступ к материалам сохраняется до последнего оплаченного дня. Если студент отменяет подписку в пробный период и не пользовался платными функциями, списание отменяется автоматически. Возврат денег после полного старта курса возможен в течение 14"
doc_03_chunk_03,doc_03,418,"автоматически. Возврат денег после полного старта курса возможен в течение 14 календарных дней с даты первой оплаты, если студент выполнил не более 20 процентов программы и не отправил итоговый проект на ревью. Возвраты рассматриваются поддержкой в течение 10 рабочих дней. Деньги возвращаются тем же способом оплаты, который использовался при покупке. Корпоративные программы и интенсивы с живыми группами могут иметь"
doc_03_chunk_04,doc_03,168,"при покупке. Корпоративные программы и интенсивы с живыми группами могут иметь отдельные условия возврата, которые фиксируются в договоре или оферте конкретного потока."
